Site,timestamp,temperature,radiation,power
siteA,2019-01-01 00:00:00,22.2,0,4.8
siteA,2019-01-01 00:15:00,22.27,0,4.8
siteA,2019-01-01 00:30:00,22.35,0,4.8
siteA,2019-01-01 00:45:00,22.42,0,4.8
siteA,2019-01-01 01:00:00,22.5,0,4.8
siteA,2019-01-01 01:15:00,22.61,0,4.8
siteA,2019-01-01 01:30:00,22.72,0,4.8
siteA,2019-01-01 01:45:00,22.83,0,4.8
siteA,2019-01-01 02:00:00,22.95,0,4.8
siteA,2019-01-01 02:15:00,23.06,0,4.8
siteA,2019-01-01 02:30:00,23.17,0,4.8
siteA,2019-01-01 02:45:00,23.28,0,4.8
siteA,2019-01-01 03:00:00,23.4,0,4.8
siteA,2019-01-01 03:15:00,23.52,0,4.8
siteA,2019-01-01 03:30:00,23.65,0,4.8
siteA,2019-01-01 03:45:00,23.77,0,4.8
siteA,2019-01-01 04:00:00,23.9,0,4.8
siteA,2019-01-01 04:15:00,23.77,0,4.8
siteA,2019-01-01 04:30:00,23.65,0,4.8
siteA,2019-01-01 04:45:00,23.52,0,4.8
siteA,2019-01-01 05:00:00,23.4,0,4.8
siteA,2019-01-01 05:15:00,23.27,2,4.8
siteA,2019-01-01 05:30:00,23.15,5,4.8
siteA,2019-01-01 05:45:00,23.02,7,4.8
siteA,2019-01-01 06:00:00,22.9,10,4.8
siteA,2019-01-01 06:15:00,23,53,4.8
siteA,2019-01-01 06:30:00,23.1,95,4.8
siteA,2019-01-01 06:45:00,23.2,138,4.8
siteA,2019-01-01 07:00:00,23.3,181,4.8
siteA,2019-01-01 07:15:00,23.66,236,4.8
siteA,2019-01-01 07:30:00,24.02,291,4.8
siteA,2019-01-01 07:45:00,24.38,346,4.8
siteA,2019-01-01 08:00:00,24.75,400,4.96
siteA,2019-01-01 08:15:00,25.11,456,4.96
siteA,2019-01-01 08:30:00,25.47,511,18.33
siteA,2019-01-01 08:45:00,25.83,566,18.37
siteA,2019-01-01 09:00:00,26.2,621,22.25
siteA,2019-01-01 09:15:00,26.52,670,21.24
siteA,2019-01-01 09:30:00,26.85,719,18.26
siteA,2019-01-01 09:45:00,27.17,768,17.94
siteA,2019-01-01 10:00:00,27.5,817,15.04
siteA,2019-01-01 10:15:00,24.6,856,15.31
siteA,2019-01-01 10:30:00,24.8,895,15.84
siteA,2019-01-01 10:45:00,25,933,16.23
siteA,2019-01-01 11:00:00,29.4,972,18.3
siteA,2019-01-01 11:15:00,29.4,996,19.52
siteA,2019-01-01 11:30:00,29.4,1020,19.4
siteA,2019-01-01 11:45:00,29.4,1044,19.3
siteA,2019-01-01 12:00:00,29.4,1069,18.53
siteA,2019-01-01 12:15:00,29.85,1076,18.6
siteA,2019-01-01 12:30:00,30.29,1084,15.79
siteA,2019-01-01 12:45:00,30.75,1092,16.89
siteA,2019-01-01 13:00:00,31.2,1100,19.42
siteA,2019-01-01 13:15:00,31.03,1091,20.54
siteA,2019-01-01 13:30:00,30.87,1083,20.73
siteA,2019-01-01 13:45:00,30.71,1074,19.36
siteA,2019-01-01 14:00:00,30.54,1065,17.65
siteA,2019-01-01 14:15:00,30.38,1040,20.36
siteA,2019-01-01 14:30:00,30.22,1015,25.56
siteA,2019-01-01 14:45:00,30.06,990,26.89
siteA,2019-01-01 15:00:00,29.9,965,15.67
siteA,2019-01-01 15:15:00,29.67,926,19.53
siteA,2019-01-01 15:30:00,29.45,887,34.92
siteA,2019-01-01 15:45:00,29.22,848,26.29
siteA,2019-01-01 16:00:00,29,808,24.77
siteA,2019-01-01 16:15:00,28.73,759,19.53
siteA,2019-01-01 16:30:00,28.47,709,20.46
siteA,2019-01-01 16:45:00,28.21,660,26.52
siteA,2019-01-01 17:00:00,27.95,610,24.07
siteA,2019-01-01 17:15:00,27.68,555,17.18
siteA,2019-01-01 17:30:00,27.42,500,20.71
siteA,2019-01-01 17:45:00,27.16,445,27.44
siteA,2019-01-01 18:00:00,26.9,389,26.99
siteA,2019-01-01 18:15:00,27,335,5.2
siteA,2019-01-01 18:30:00,27.1,280,5.2
siteA,2019-01-01 18:45:00,27.2,225,5.2
siteA,2019-01-01 19:00:00,27.3,171,5.2
siteA,2019-01-01 19:15:00,27.07,129,5.2
siteA,2019-01-01 19:30:00,26.85,88,5.2
siteA,2019-01-01 19:45:00,26.62,47,5.2
siteA,2019-01-01 20:00:00,26.4,6,5.2
siteA,2019-01-01 20:15:00,26.17,4,5.2
siteA,2019-01-01 20:30:00,25.95,3,5.2
siteA,2019-01-01 20:45:00,25.72,1,5.2
siteA,2019-01-01 21:00:00,25.5,0,5.2
siteA,2019-01-01 21:15:00,25.55,0,5.2
siteA,2019-01-01 21:30:00,25.6,0,5.2
siteA,2019-01-01 21:45:00,25.65,0,5.2
siteA,2019-01-01 22:00:00,25.7,0,4.8
siteA,2019-01-01 22:15:00,25.43,0,4.8
siteA,2019-01-01 22:30:00,25.17,0,4.8
siteA,2019-01-01 22:45:00,24.91,0,4.8
siteA,2019-01-01 23:00:00,24.65,0,4.8
siteA,2019-01-01 23:15:00,24.38,0,4.8
siteA,2019-01-01 23:30:00,24.12,0,4.8
siteA,2019-01-01 23:45:00,23.86,0,4.8
siteA,2019-01-02 00:00:00,23.6,0,4.8
siteA,2019-01-02 00:15:00,23.45,0,4.8
siteA,2019-01-02 00:30:00,23.3,0,4.8
siteA,2019-01-02 00:45:00,23.15,0,4.8
siteA,2019-01-02 01:00:00,23,0,4.8
siteA,2019-01-02 01:15:00,22.83,0,4.8
siteA,2019-01-02 01:30:00,22.67,0,4.8
siteA,2019-01-02 01:45:00,22.51,0,4.8
siteA,2019-01-02 02:00:00,22.35,0,4.8
siteA,2019-01-02 02:15:00,22.18,0,4.8
siteA,2019-01-02 02:30:00,22.02,0,4.8
siteA,2019-01-02 02:45:00,21.86,0,4.8
siteA,2019-01-02 03:00:00,21.7,0,4.8
siteA,2019-01-02 03:15:00,21.72,0,4.8
siteA,2019-01-02 03:30:00,21.75,0,4.8
siteA,2019-01-02 03:45:00,21.77,0,4.8
siteA,2019-01-02 04:00:00,21.8,0,4.8
siteA,2019-01-02 04:15:00,21.76,0,4.8
siteA,2019-01-02 04:30:00,21.72,0,4.8
siteA,2019-01-02 04:45:00,21.68,0,4.8
siteA,2019-01-02 05:00:00,21.65,0,4.8
siteA,2019-01-02 05:15:00,21.61,2,4.8
siteA,2019-01-02 05:30:00,21.57,5,4.8
siteA,2019-01-02 05:45:00,21.53,7,4.8
siteA,2019-01-02 06:00:00,21.5,10,4.8
siteA,2019-01-02 06:15:00,21.67,52,4.8
siteA,2019-01-02 06:30:00,21.85,95,4.8
siteA,2019-01-02 06:45:00,22.02,138,4.8
siteA,2019-01-02 07:00:00,22.2,180,4.8
siteA,2019-01-02 07:15:00,22.53,235,4.8
siteA,2019-01-02 07:30:00,22.87,290,4.8
siteA,2019-01-02 07:45:00,23.21,345,4.8
siteA,2019-01-02 08:00:00,23.54,400,4.96
siteA,2019-01-02 08:15:00,23.88,455,15.38
siteA,2019-01-02 08:30:00,24.22,510,14.84
siteA,2019-01-02 08:45:00,24.56,565,14.86
siteA,2019-01-02 09:00:00,24.9,620,14.86
siteA,2019-01-02 09:15:00,24.97,669,14.18
siteA,2019-01-02 09:30:00,25.04,719,14.49
siteA,2019-01-02 09:45:00,25.12,768,15.33
siteA,2019-01-02 10:00:00,25.2,817,21.18
siteA,2019-01-02 10:15:00,25.56,855,18.76
